,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM108A1,1479.751826332895,0.10660915145775175,0.2291911719397577,0.46515383012123035,0.6418212993032271,0.9112178264152148
FAM108B1,9.323358049896154,0.2449202094893177,0.5962066170721674,0.41079753641793537,0.6812209997814382,0.9232798294495586
FAM108C1,81.75431568648531,0.11748214155822455,0.2515502243670787,0.46703254530509525,0.6404765935304905,0.9107634247392782
FAM109A,70.0558597009109,-0.18281711078796203,0.261106600021802,-0.7001627334303195,0.48382568192737274,0.8452343558187879
FAM109B,306.82242434245023,-0.11185348434088789,0.21000643010774273,-0.5326193311485845,0.5942971177387695,0.8950540988054789
FAM110A,33.71713792666921,0.7825396855897636,0.32258201410373316,2.425862730642265,0.015272045533471317,0.16132880697666985
FAM110B,6.343150986624787,0.3287655328193921,0.7347652058800977,0.44744297931962973,0.6545552495335245,0.9158180262193816
FAM111A,329.6576349975619,0.19073781088270292,0.2673044625416519,0.7135601443727555,0.4754992099569165,0.8422326121850832
FAM111B,79.23930913403039,0.19985725947559574,0.36499661913667397,0.5475592073929831,0.5839946057601577,0.8913934084763295
PCED1A,138.18993299969512,-0.32576725155550873,0.2733872034571291,-1.1915965613459796,0.23341947398023333,0.6665584327033075
PCED1B,8.011913024333063,-0.018577910182780936,0.5805561248557478,-0.032000196686232586,0.9744718940460452,0.9957993095189235
FAM114A1,1219.73697752353,-0.06682071841183984,0.2404750705515571,-0.27786962805990195,0.7811124393877232,0.9491419974358781
FAM114A2,187.1431537607338,-0.2537787308326289,0.2941070908871806,-0.8628786543945597,0.3882041879133995,0.7957317220320711
FAM115A,675.3382928126473,-0.24260621929196902,0.23978612428746254,-1.011760876543155,0.31165240041612063,0.7419060209306362
FAM115C,45.26009525088052,-0.1031391496200317,0.2923992388371498,-0.3527339880575903,0.7242878763175212,0.9350388320706683
DENND6A,114.33323426019456,-0.1549421022917042,0.2631443359532599,-0.5888103262052551,0.5559885180191251,0.8810073478527713
DENND6B,82.60079644970187,-0.2206086179553625,0.3366093416439434,-0.6553847165320699,0.5122200890872399,0.8582476772026985
FAM117A,60.05540413607433,-0.04215407802595141,0.25537838171824945,-0.1650651779619256,0.8688926809571789,0.9747818879234406
