,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
39,prerank,Estrogen Response Late,-0.30939044625069034,-1.0740177997258171,0.3206459054209919,0.4297080798888836,1.0,31/136,15.50%,FOS;HR;SEMA3B;IL6ST;ANXA9;TPD52L1;PTGES;MDK;ISG20;IGFBP4;PLXNB1;PGR;BCL2;ASS1;HSPA4L;DNAJC12;ALDH3B1;DUSP2;ZFP36;LAMC2;CDH1;MEST;TNNC1;PDCD4;RPS6KA2;CISH;CPE;FOXC1;NRIP1;ACOX2;ST6GALNAC2
40,prerank,Cholesterol Homeostasis,0.2697778105208245,1.0389053255863017,0.37209302325581395,0.41816773374647676,0.944,25/61,20.62%,FABP5;ERRFI1;GLDC;ACAT2;PLAUR;EBP;CLU;FASN;TNFRSF12A;CYP51A1;HSD17B7;FDFT1;HMGCR;SCD;FADS2;DHCR7;FDPS;PMVK;ALCAM;STARD4;HMGCS1;IDI1;CHKA;MVD;SQLE
41,prerank,Oxidative Phosphorylation,0.21562808586695711,0.9859440405759453,0.5268817204301075,0.5237546365306618,0.976,55/181,26.03%,ATP1B1;NDUFB6;MRPL35;COX17;COX7A2;ATP6V0B;NDUFA8;TIMM50;TIMM8B;NDUFS2;TIMM10;FXN;MDH2;ATP6V1D;IDH3A;SLC25A5;CYC1;MTRR;PMPCA;HTRA2;ATP6AP1;SLC25A12;NDUFB3;MTRF1;SLC25A4;ATP6V0C;HADHA;NDUFA9;RHOT1;IDH3G;SUCLA2;RETSAT;MRPL15;AIFM1;IDH3B;VDAC3;PDHB;CS;MPC1;HSPA9;TIMM13;LDHB;PDHA1;ATP6V1H;COX11;MRPS15;NDUFS3;HSD17B10;RHOT2;COX10;TIMM17A;VDAC2;UQCRFS1;SLC25A11;COX8A
42,prerank,Spermatogenesis,-0.30358894019118654,-0.9657405251369111,0.524390243902439,0.648680162050303,1.0,11/66,7.38%,SLC2A5;SPATA6;IL13RA2;HSPA1L;ACE;HSPA2;CCT6B;GSTM3;SCG5;HSPA4L;MAP7
43,prerank,Reactive Oxygen Species Pathway,-0.3189151640301873,-0.9363218524284741,0.5759233926128591,0.6886065743889396,1.0,8/42,10.27%,HHEX;JUNB;MBP;GPX4;SBNO2;SOD2;ABCC1;FTL
44,prerank,Apical Junction,-0.2581407023510897,-0.8986563661201531,0.6747404844290658,0.7471544954105762,1.0,17/146,10.04%,VCAM1;ICAM1;SORBS3;ITGB4;LAMA3;CDH8;ARHGEF6;MDK;ADAMTS5;ACTG2;CLDN11;TNFRSF11B;LAMC2;CDH1;NRXN2;VCL;EXOC4
45,prerank,Unfolded Protein Response,-0.26396927745255766,-0.8905448702503913,0.6773428232502966,0.7401500910005269,1.0,12/106,12.03%,ATF3;CCL2;DDIT4;IFIT1;PSAT1;ASNS;CHAC1;VEGFA;CEBPB;IGFBP1;NFYB;MTHFD2
46,prerank,Wnt-beta Catenin Signaling,-0.300212639281881,-0.8457644051526945,0.6915492957746479,0.8005470191159161,1.0,9/33,19.64%,JAG2;JAG1;PTCH1;AXIN2;DLL1;FRAT1;DVL2;GNAI1;NOTCH1
47,prerank,Pperoxisome,-0.24032095444635504,-0.7867741854563777,0.8225214198286414,0.8740558343170594,1.0,7/79,8.97%,ALDH1A1;DHRS3;HSD11B2;CEL;SEMA3C;SOD2;CRABP2
48,prerank,Fatty Acid Metabolism,-0.21827625549506954,-0.7528597886240098,0.8903803131991052,0.8919249006178457,1.0,15/126,13.76%,INMT;ALDH1A1;ACSS1;UBE2L6;CEL;CD36;PSME1;PTPRG;ECI1;S100A10;EPHX1;ACADS;ALDOA;PCBD1;HSD17B11
49,prerank,Protein Secretion,0.1688387941234012,0.6974681828514776,0.9944444444444445,0.9685755884494055,1.0,26/89,25.06%,TSPAN8;OCRL;CLCN3;YKT6;CLTC;TMED2;CAV2;RAB22A;ZW10;RER1;LMAN1;RAB14;GBF1;COG2;GLA;GOLGA4;ATP6V1H;SCAMP3;ANP32E;ARCN1;ARF1;PPT1;ARFGEF1;GOSR2;AP2M1;COPE
